iter	Passed	Remaining
495	562	571
496	563	570
497	564	569
498	565	567
499	566	566
500	567	565
501	568	563
502	569	562
503	570	561
504	572	561
505	573	559
506	574	558
507	575	557
508	576	556
509	577	554
510	578	553
511	579	552
512	580	550
513	580	549
514	582	548
515	583	546
516	583	545
517	584	543
518	585	542
519	586	541
520	586	539
521	588	538
522	589	537
523	590	536
524	591	534
525	592	533
526	592	532
527	593	530
528	594	529
529	595	528
530	596	527
531	597	525
532	598	524
533	599	523
534	600	522
535	601	520
536	602	519
537	603	518
538	604	516
539	605	515
540	606	514
541	607	513
542	608	512
543	609	511
544	610	510
545	611	508
546	612	507
547	613	506
548	614	504
549	615	503
550	616	502
551	617	501
552	618	500
553	619	499
554	620	497
555	621	496
556	622	495
557	624	494
558	625	493
559	626	492
560	627	490
561	628	489
562	629	488
563	630	487
564	631	485
565	631	484
566	632	483
567	633	481
568	634	480
569	635	479
570	637	478
571	638	477
572	639	476
573	640	475
574	641	473
575	642	473
576	643	471
577	644	470
578	645	469
579	646	467
580	646	466
581	647	465
582	648	464
583	649	462
584	650	461
585	651	459
586	651	458
587	652	457
588	653	456
589	654	455
590	655	453
591	656	452
592	657	450
593	657	449
594	658	448
595	659	447
596	660	445
597	661	444
598	662	443
599	663	442
600	665	441
601	667	441
602	669	440
603	669	439
604	670	438
605	671	436
606	672	435
607	673	434
608	674	433
609	675	432
610	676	430
611	677	429
612	679	428
613	680	427
614	681	426
615	682	425
616	683	424
617	684	423
618	686	422
619	687	421
620	688	419
621	688	418
622	689	417
623	691	416
624	693	415
625	694	415
626	696	414
627	698	413
628	699	412
629	700	411
630	701	410
631	702	409
632	704	408
633	705	406
634	706	406
635	707	405
636	708	404
637	709	402
638	710	401
639	711	400
640	713	399
641	714	398
642	715	397
643	716	396
644	717	394
645	718	393
646	719	392
647	721	391
648	722	390
649	723	389
650	724	388
651	725	387
652	727	386
653	728	385
654	729	384
655	731	383
656	732	382
657	733	381
658	734	380
659	735	379
660	736	377
661	738	376
662	739	375
663	740	374
664	741	373
665	742	372
666	744	371
667	745	370
668	746	369
669	747	368
670	748	366
671	749	365
672	750	364
673	751	363
674	752	362
675	754	361
676	755	360
677	757	359
678	758	358
679	759	357
680	761	356
681	762	355
682	763	354
683	764	353
684	766	352
685	767	351
686	769	350
687	770	349
688	770	348
689	772	346
690	773	345
691	774	344
692	775	343
693	776	342
694	777	341
695	778	340
696	779	339
697	781	338
698	782	336
699	783	335
700	784	334
701	785	333
702	786	332
703	787	331
704	788	330
705	789	328
706	791	328
707	793	327
708	794	325
709	795	324
710	797	324
711	799	323
712	800	322
713	802	321
714	803	320
715	804	318
716	805	317
717	806	316
718	807	315
719	808	314
720	809	313
721	810	312
722	811	311
723	812	309
724	813	308
725	814	307
726	816	306
727	817	305
728	818	304
729	819	302
730	820	301
731	821	300
732	822	299
733	823	298
734	824	297
735	825	296
736	826	295
737	828	293
738	829	292
739	830	291
740	831	290
741	832	289
742	833	288
743	834	287
744	835	285
745	835	284
746	836	283
747	838	282
748	839	281
749	839	279
750	840	278
751	841	277
752	842	276
753	843	275
754	844	274
755	845	272
756	846	271
757	847	270
758	848	269
759	849	268
760	850	267
761	851	265
762	852	264
763	853	263
764	853	262
765	855	261
766	855	260
767	856	258
768	857	257
769	858	256
770	859	255
771	860	254
772	861	252
773	862	251
774	863	250
775	863	249
776	864	248
777	865	246
778	866	245
779	867	244
780	868	243
781	869	242
782	870	241
783	871	239
784	872	238
785	873	237
786	874	236
787	875	235
788	875	234
789	876	233
790	877	231
791	878	230
792	880	229
793	881	228
794	881	227
795	882	226
796	883	225
797	885	224
798	886	223
799	888	222
800	888	220
801	889	219
802	890	218
803	891	217
804	892	216
805	893	215
806	894	213
807	895	212
808	896	211
809	897	210
810	898	209
811	899	208
812	900	207
813	902	206
814	904	205
815	905	204
816	906	203
817	907	201
818	909	200
819	916	201
820	921	200
821	923	199
822	924	198
823	925	197
824	938	198
825	950	200
826	967	202
827	969	201
828	971	200
829	972	199
830	973	198
831	975	196
832	977	195
833	979	194
834	981	193
835	983	192
836	984	191
837	986	190
838	987	189
839	989	188
840	990	187
841	991	186
842	993	185
843	1007	186
844	1009	185
845	1011	184
846	1012	182
847	1014	181
848	1015	180
849	1030	181
850	1033	180
851	1041	180
852	1044	179
853	1047	179
854	1048	177
855	1051	176
856	1053	175
857	1055	174
858	1057	173
859	1059	172
860	1061	171
861	1063	170
862	1065	169
863	1066	167
864	1068	166
865	1070	165
866	1073	164
867	1074	163
868	1076	162
869	1078	161
870	1080	159
871	1082	158
872	1083	157
873	1084	156
874	1087	155
875	1090	154
876	1092	153
877	1094	152
878	1095	150
879	1097	149
880	1098	148
881	1099	147
882	1101	145
883	1102	144
884	1103	143
885	1104	142
886	1106	140
887	1107	139
888	1108	138
889	1109	137
890	1110	135
891	1112	134
892	1113	133
893	1115	132
894	1116	130
895	1117	129
896	1118	128
897	1121	127
898	1122	126
899	1124	124
900	1126	123
901	1127	122
902	1128	121
903	1130	120
904	1132	118
905	1135	117
906	1137	116
907	1139	115
908	1141	114
909	1143	113
910	1145	111
911	1146	110
912	1148	109
913	1150	108
914	1151	106
915	1153	105
916	1155	104
917	1156	103
918	1158	102
919	1161	100
920	1162	99
921	1164	98
922	1165	97
923	1167	96
924	1168	94
925	1170	93
926	1171	92
927	1173	91
928	1174	89
929	1175	88
930	1176	87
931	1177	85
932	1179	84
933	1180	83
934	1181	82
935	1197	81
936	1199	80
937	1201	79
938	1202	78
939	1203	76
940	1204	75
941	1206	74
942	1207	72
943	1208	71
944	1209	70
945	1210	69
946	1211	67
947	1212	66
948	1213	65
949	1214	63
950	1216	62
951	1217	61
952	1218	60
953	1219	58
954	1220	57
955	1221	56
956	1222	54
957	1223	53
958	1224	52
959	1225	51
960	1226	49
961	1227	48
962	1228	47
963	1229	45
